# Generated by mcp-generateobjects.rb - https://github.com/rbowes-r7/refreshing-mcp-tool
0x0000 eom
0x0001 byte
0x0002 bits
0x0003 uword
0x0004 long
0x0005 ulong
0x0006 uquad
0x0007 ip_address_old
0x0008 service
0x0009 mac
0x000a date
0x000b time
0x000c tag
0x000d structure
0x000e array
0x000f string
0x0010 blob
0x0011 ptr
0x0012 double
0x0013 traffic_stat
0x0014 traffic_stat_pkts_in
0x0015 traffic_stat_bytes_in
0x0016 traffic_stat_pkts_out
0x0017 traffic_stat_bytes_out
0x0018 traffic_stat_max_conns
0x0019 traffic_stat_tot_conns
0x001a traffic_stat_cur_conns
0x001b counter_stat
0x001c counter_stat_pkts_in
0x001d counter_stat_bytes_in
0x001e counter_stat_pkts_out
0x001f counter_stat_bytes_out
0x0020 counter_stat_mcast_in
0x0021 counter_stat_mcast_out
0x0022 counter_stat_errors_in
0x0023 counter_stat_errors_out
0x0024 counter_stat_drops_in
0x0025 counter_stat_drops_out
0x0026 counter_stat_collisions
0x0027 auth_common_stat
0x0028 auth_common_stat_tot_sessions
0x0029 auth_common_stat_cur_sessions
0x002a auth_common_stat_max_sessions
0x002b auth_common_stat_success_results
0x002c auth_common_stat_failure_results
0x002d auth_common_stat_wantcredential_results
0x002e auth_common_stat_error_results
0x002f global_auth_stat
0x0030 global_auth_stat_common
0x0031 profile_auth_stat
0x0032 profile_auth_stat_name
0x0033 profile_auth_stat_object_id
0x0034 profile_auth_stat_common
0x0035 trunk_stat
0x0036 trunk_stat_name
0x0037 trunk_stat_counters
0x0038 l2_forward_stat
0x0039 l2_forward_stat_mac_addr
0x003a l2_forward_stat_vlan_name
0x003b l2_forward_stat_ifname
0x003c l2_forward_stat_iftype
0x003d l2_forward_stat_dynamic
0x003e snmp_rmon_stat
0x003f snmp_rmon_stat_name
0x0040 snmp_rmon_stat_drop_events
0x0041 snmp_rmon_stat_octets
0x0042 snmp_rmon_stat_pkts
0x0043 snmp_rmon_stat_broadcast_pkts
0x0044 snmp_rmon_stat_multicast_pkts
0x0045 snmp_rmon_stat_crc_align_errs
0x0046 snmp_rmon_stat_undersize_pkts
0x0047 snmp_rmon_stat_oversize_pkts
0x0048 snmp_rmon_stat_fragments
0x0049 snmp_rmon_stat_jabbers
0x004a snmp_rmon_stat_collisions
0x004b snmp_rmon_stat_pkts_64_octets
0x004c snmp_rmon_stat_pkts_65to127_octets
0x004d snmp_rmon_stat_pkts_128to255_octets
0x004e snmp_rmon_stat_pkts_256to511_octets
0x004f snmp_rmon_stat_pkts_512to1023_octets
0x0050 snmp_rmon_stat_pkts_1024to1518_octets
0x0051 snmp_dot3_stat
0x0052 snmp_dot3_stat_name
0x0053 snmp_dot3_stat_index
0x0054 snmp_dot3_stat_alignment_errors
0x0055 snmp_dot3_stat_fcs_errors
0x0056 snmp_dot3_stat_single_collision_frames
0x0057 snmp_dot3_stat_multi_collision_frames
0x0058 snmp_dot3_stat_sqetest_errors
0x0059 snmp_dot3_stat_deferred_tx
0x005a snmp_dot3_stat_late_collisions
0x005b snmp_dot3_stat_excessive_collisions
0x005c snmp_dot3_stat_intmac_tx_errors
0x005d snmp_dot3_stat_carrier_sense_errors
0x005e snmp_dot3_stat_frame_too_longs
0x005f snmp_dot3_stat_intmac_rx_errors
0x0060 snmp_dot3_stat_symbol_errors
0x0061 snmp_dot3_stat_duplex_status
0x0062 snmp_dot3_stat_collision_count
0x0063 snmp_dot3_stat_collision_freq
0x0064 snmp_ifx_stat
0x0065 snmp_ifx_stat_name
0x0066 snmp_ifx_stat_in_multicast_pkts
0x0067 snmp_ifx_stat_in_broadcast_pkts
0x0068 snmp_ifx_stat_out_multicast_pkts
0x0069 snmp_ifx_stat_out_broadcast_pkts
0x006a snmp_ifx_stat_hc_in_octets
0x006b snmp_ifx_stat_hc_in_ucast_pkts
0x006c snmp_ifx_stat_hc_in_multicast_pkts
0x006d snmp_ifx_stat_hc_in_broadcast_pkts
0x006e snmp_ifx_stat_hc_out_octets
0x006f snmp_ifx_stat_hc_out_ucast_pkts
0x0070 snmp_ifx_stat_hc_out_multicast_pkts
0x0071 snmp_ifx_stat_hc_out_broadcast_pkts
0x0072 snmp_ifx_stat_high_speed
0x0073 snmp_ifx_stat_connector_present
0x0074 snmp_ifx_stat_counter_discontinuity_time
0x0075 snmp_ifx_stat_alias
0x0076 snmp_dot1dbase_port_stat
0x0077 snmp_dot1dbase_port_stat_name
0x0078 snmp_dot1dbase_port_stat_port
0x0079 snmp_dot1dbase_port_stat_if_index
0x007a snmp_dot1dbase_port_stat_delay_exceeded_discards
0x007b snmp_dot1dbase_port_stat_mtu_exceeded_discards
0x007c snmp_dot1dbase_stat
0x007d snmp_dot1dbase_stat_mac_addr
0x007e snmp_dot1dbase_stat_num_ports
0x007f snmp_dot1dbase_stat_type
0x0080 snmp_dot1dbase_stat_port
0x0081 stp_bridge_tree_stat
0x0082 stp_bridge_tree_stat_instance_id
0x0083 stp_bridge_tree_stat_priority
0x0084 stp_bridge_tree_stat_last_tc
0x0085 stp_bridge_tree_stat_tc_count
0x0086 stp_bridge_tree_stat_desig_root_prio
0x0087 stp_bridge_tree_stat_desig_root_addr
0x0088 stp_bridge_tree_stat_internal_path_cost
0x0089 stp_bridge_tree_stat_root_port
0x008a stp_bridge_tree_stat_root_port_num
0x008b snmp_stp_bridge_stat
0x008c snmp_stp_bridge_stat_mode
0x008d snmp_stp_bridge_stat_fwd_delay
0x008e snmp_stp_bridge_stat_hello_time
0x008f snmp_stp_bridge_stat_max_age
0x0090 snmp_stp_bridge_stat_bridge_fwd_delay
0x0091 snmp_stp_bridge_stat_bridge_hello_time
0x0092 snmp_stp_bridge_stat_bridge_max_age
0x0093 snmp_stp_bridge_stat_transmit_hold
0x0094 snmp_stp_bridge_stat_path_cost
0x0095 snmp_stp_bridge_stat_root_prio
0x0096 snmp_stp_bridge_stat_root_addr
0x0097 snmp_stp_bridge_stat_tree_stat
0x0098 stp_interface_tree_stat
0x0099 stp_interface_tree_stat_instance_id
0x009a stp_interface_tree_stat_priority
0x009b stp_interface_tree_stat_state
0x009c stp_interface_tree_stat_role
