audio/1d-interleaved-parityfec 'IANA,RFC6015
audio/32kadpcm 'IANA,RFC3802,RFC2421
audio/3gpp 'IANA,RFC3839,RFC6381
audio/3gpp2 'IANA,RFC4393,RFC6381
audio/ac3 'IANA,RFC4184
audio/AMR 'IANA,RFC4867
audio/AMR-WB 'IANA,RFC4867
audio/amr-wb+ 'IANA,RFC4352
audio/asc 'IANA,RFC6295
audio/ATRAC-ADVANCED-LOSSLESS 'IANA,RFC5584
audio/ATRAC-X 'IANA,RFC5584
audio/ATRAC3 'IANA,RFC5584
audio/basic 'IANA,RFC2045,RFC2046
audio/BV16 'IANA,RFC4298
audio/BV32 'IANA,RFC4298
audio/clearmode 'IANA,RFC4040
audio/CN 'IANA,RFC3389
audio/DAT12 'IANA,RFC3190
audio/dls 'IANA,RFC4613
audio/dsr-es201108 'IANA,RFC3557
audio/dsr-es202050 'IANA,RFC4060
audio/dsr-es202211 'IANA,RFC4060
audio/dsr-es202212 'IANA,RFC4060
audio/eac3 'IANA,<font color="#000000"><a href="http://www.ietf.org/rfc/rfc4598.txt">RFC4598</a></font>
audio/DVI4 'IANA,RFC4856
audio/EVRC 'IANA,RFC4788
audio/EVRC0 'IANA,RFC4788
audio/EVRC1 'IANA,RFC4788
audio/EVRCB 'IANA,RFC5188
audio/EVRCB0 'IANA,RFC5188
audio/EVRCB1 'IANA,RFC4788
audio/EVRC-QCP 'IANA,RFC3625
audio/EVRCWB 'IANA,RFC5188
audio/EVRCWB0 'IANA,RFC5188
audio/EVRCWB1 'IANA,RFC5188
audio/example 'IANA,RFC4735
audio/fwdred 'IANA,RFC6354
audio/G719 'IANA,RFC5404
audio/G722 'IANA,RFC4856
audio/G7221 'IANA,RFC5577
audio/G723 'IANA,RFC4856
audio/G726-16 'IANA,RFC4856
audio/G726-24 'IANA,RFC4856
audio/G726-32 'IANA,RFC4856
audio/G726-40 'IANA,RFC4856
audio/G728 'IANA,RFC4856
audio/G729 'IANA,RFC4856
audio/G7291 'IANA,RFC4749,RFC5459
audio/G729D 'IANA,RFC4856
audio/G729E 'IANA,RFC4856
audio/GSM 'IANA,RFC4856
audio/GSM-EFR 'IANA,RFC4856
audio/GSM-HR-08 'IANA,RFC5993
audio/iLBC 'IANA,RFC3952
audio/ip-mr_v2.5 'IANA,RFC6262
audio/L8 'IANA,RFC4856
audio/L16 'IANA,RFC4856
audio/L20 'IANA,RFC3190
audio/L24 'IANA,RFC3190
audio/LPC 'IANA,RFC4856
audio/mobile-xmf 'IANA,RFC4723
audio/MPA 'IANA,RFC3555
audio/mp4 'IANA,RFC4337,RFC6381
audio/MP4A-LATM 'IANA,RFC6416
audio/mpa-robust 'IANA,RFC5219
audio/mpeg 'IANA,RFC3003
audio/mpeg4-generic 'IANA,RFC3640,RFC5691,RFC6295
audio/ogg 'IANA,RFC5334
audio/parityfec 'IANA,RFC5109
audio/PCMA 'IANA,RFC4856
audio/PCMA-WB 'IANA,RFC5391
audio/PCMU 'IANA,RFC4856
audio/PCMU-WB 'IANA,RFC5391
audio/prs.sid 'IANA,[Walleij]
audio/QCELP 'IANA,RFC3555,RFC3625
audio/RED 'IANA,RFC3555
audio/rtp-enc-aescm128 'IANA,[3GPP]
audio/rtp-midi 'IANA,RFC6295
audio/rtx 'IANA,RFC4588
audio/SMV 'IANA,RFC3558
audio/SMV0 'IANA,RFC3558
audio/SMV-QCP 'IANA,RFC3625
audio/sp-midi 'IANA,[Kosonen],[T. White=T.White]
audio/speex 'IANA,RFC5574
audio/t140c 'IANA,RFC4351
audio/t38 'IANA,RFC4612
audio/telephone-event 'IANA,RFC4733
audio/tone 'IANA,RFC4733
audio/UEMCLIP 'IANA,RFC5686
audio/ulpfec 'IANA,RFC5109
audio/VDVI 'IANA,RFC4856
audio/VMR-WB 'IANA,RFC4348,RFC4424
audio/vnd.3gpp.iufp 'IANA,[Belling]
audio/vnd.4SB 'IANA,[De Jaham]
audio/vnd.audiokoz 'IANA,[DeBarros]
audio/vnd.CELP 'IANA,[De Jaham]
audio/vnd.cisco.nse 'IANA,[Kumar]
audio/vnd.cmles.radio-events 'IANA,[Goulet]
audio/vnd.cns.anp1 'IANA,[McLaughlin]
audio/vnd.cns.inf1 'IANA,[McLaughlin]
audio/vnd.dece.audio 'IANA,[Dolan]
