image/cgm 'IANA,[Francis]
image/example 'IANA,RFC4735
image/fits 'IANA,RFC4047
image/g3fax 'IANA,RFC1494
image/gif 'IANA,RFC2045,RFC2046
image/ief 'IANA,RFC1314
image/jp2 'IANA,RFC3745
image/jpeg 'IANA,RFC2045,RFC2046
image/jpm 'IANA,RFC3745
image/jpx 'IANA,RFC3745
image/ktx 'IANA,[Callow],[Khronos]
image/naplps 'IANA,[Ferber]
image/png 'IANA,[Randers-Pehrson]
image/prs.btif 'IANA,[Simon]
image/prs.pti 'IANA,[Laun]
image/svg+xml 'IANA,[W3C]
image/t38 'IANA,RFC3362
image/tiff 'IANA,RFC2302
image/tiff-fx 'IANA,RFC3950
image/vnd.adobe.photoshop 'IANA,[Scarborough]
image/vnd.cns.inf2 'IANA,[McLaughlin]
image/vnd.dece.graphic 'IANA,[Dolan]
image/vnd.djvu 'IANA,[Bottou]
image/vnd.dwg 'IANA,[Moline]
image/vnd.dxf 'IANA,[Moline]
image/vnd.dvb.subtitle 'IANA,[Siebert],[Lagally]
image/vnd.fastbidsheet 'IANA,[Becker]
image/vnd.fpx 'IANA,[Spencer]
image/vnd.fst 'IANA,[Fuldseth]
image/vnd.fujixerox.edmics-mmr 'IANA,[Onda]
image/vnd.fujixerox.edmics-rlc 'IANA,[Onda]
image/vnd.globalgraphics.pgb 'IANA,[Bailey]
image/vnd.microsoft.icon 'IANA,[Butcher]
image/vnd.mix 'IANA,[Reddy]
image/vnd.ms-modi 'IANA,[Vaughan]
image/vnd.net-fpx 'IANA,[Spencer]
image/vnd.radiance 'IANA,[Fritz],[GWard]
image/vnd.sealed.png 'IANA,[Petersen]
image/vnd.sealedmedia.softseal.gif 'IANA,[Petersen]
image/vnd.sealedmedia.softseal.jpg 'IANA,[Petersen]
image/vnd.svf 'IANA,[Moline]
image/vnd.wap.wbmp 'IANA,[Stark]
image/vnd.xiff 'IANA,[S.Martin]
