model/example 'IANA,RFC4735
model/iges 'IANA,[Parks]
model/mesh 'IANA,RFC2077
model/vnd.collada+xml 'IANA,[Riordon]
model/vnd.dwf 'IANA,[Pratt]
model/vnd.flatland.3dml 'IANA,[Powers]
model/vnd.gdl 'IANA,[Babits]
model/vnd.gs-gdl 'IANA,[Babits]
model/vnd.gtw 'IANA,[Ozaki]
model/vnd.moml+xml 'IANA,[Brooks]
model/vnd.mts 'IANA,[Rabinovitch]
model/vnd.parasolid.transmit.binary 'IANA,[Parasolid]
model/vnd.parasolid.transmit.text 'IANA,[Parasolid]
model/vnd.vtu 'IANA,[Rabinovitch]
model/vrml 'IANA,RFC2077
