21;F721
22;F6F8 # Hungarumlautsmall
23;F7A2
24;F724
25;F6E4
26;F726
27;F7B4
28;207D
29;F07E
2A;2025
2B;2024
2F;2044
30;F730
31;F731
32;F732
33;F733
34;F734
35;F735
36;F736
37;F737
38;F738
39;F739
3D;F6DE
3F;F73F
44;F7F0
47;00BC
48;00BD
49;00BE
4A;215B
4B;215C
4C;215D
4D;215E
4E;2153
4F;2154
56;FB00
57;FB01
58;FB02
59;FB03
5A;FB04
5B;208D
5D;208E
5E;F6F6
5F;F6E5
60;F760
61;F761
62;F762
63;F763
64;F764
65;F765
66;F766
67;F767
68;F768
69;F769
6A;F76A
6B;F76B
6C;F76C
6D;F76D
6E;F76E
6F;F76F
70;F770
71;F771
72;F772
73;F773
74;F774
75;F775
76;F776
77;F777
78;F778
79;F779
7A;F77A
7B;20A1
7C;F6DC
7D;F6DD
7E;F6FE
81;F6E9
82;F6E0
87;F7E1 # Acircumflexsmall
88;F7E0
89;F7E2 # Acutesmall
8A;F7E4
8B;F7E3
8C;F7E5
8D;F7E7
8E;F7E9
8F;F7E8
90;F7E4
91;F7EB
92;F7ED
93;F7EC
94;F7EE
95;F7EF
96;F7F1
97;F7F3
98;F7F2
99;F7F4
9A;F7F6
9B;F7F5
9C;F7FA
9D;F7F9
9E;F7FB
9F;F7FC
A1;2078
A2;2084
A3;2083
A4;2086
A5;2088
A6;2087
A7;F6FD
A9;F6DF
AA;2082
AC;F7A8
AE;F6F5
AF;F6F0
B0;2085
B2;F6E1
B3;F6E7
B4;F7FD
B6;F6E3
B9;F7FE
BB;2089
BC;2080
BD;F6FF
BE;F7E6 # AEsmall
BF;F7F8
C0;F7BF
C1;2081
C2;F6F9
C9;F7B8
CF;F6FA
D0;2012
D1;F6E6
D6;F7A1
D8;F7FF
DA;00B9
DB;00B2
DC;00B3
DD;2074
DE;2075
DF;2076
E0;2077
E1;2079
E2;2070
E4;F6EC
E5;F6F1
E6;F6F3
E9;F6ED
EA;F6F2
EB;F6EB
F1;F6EE
F2;F6FB
F3;F6F4
F4;F7AF
F5;F6EF
F6;207F
F7;F6EF
F8;F6E2
F9;F6E8
FA;F6F7
FB;F6FC
