80;00C4
81;00C5
82;00C7
83;00C9
84;00D1
85;00D6
86;00DC
87;00E1
88;00E0
89;00E2
8A;00E4
8B;00E3
8C;00E5
8D;00E7
8E;00E9
8F;00E8
90;00EA
91;00EB
92;00ED
93;00EC
94;00EE
95;00EF
96;00F1
97;00F3
98;00F2
99;00F4
9A;00F6
9B;00F5
9C;00FA
9D;00F9
9E;00FB
9F;00FC
A0;2020
A1;00B0
A2;00A2
A3;00A3
A4;00A7
A5;2022
A6;00B6
A7;00DF
A8;00AE
A9;00A9
AA;2122
AB;00B4
AC;00A8
AD;2260
AE;00C6
AF;00D8
B0;221E
B1;00B1
B2;2264
B3;2265
B4;00A5
B5;00B5
B6;2202
B7;2211
B8;220F
B9;03C0
BA;222B
BB;00AA
BC;00BA
BD;03A9
BE;00E6
BF;00F8
C0;00BF
C1;00A1
C2;00AC
C3;221A
C4;0192
C5;2248
C6;2206
C7;00AB
C8;00BB
C9;2026
CA;00A0
CB;00C0
CC;00C3
CD;00D5
CE;0152
CF;0153
D0;2013
D1;2014
D2;201C
D3;201D
D4;2018
D5;2019
D6;00F7
D7;25CA
D8;00FF
D9;0178
DA;2044
DB;20AC
DC;2039
DD;203A
DE;FB01
DF;FB02
E0;2021
E1;00B7
E2;201A
E3;201E
E4;2030
E5;00C2
E6;00CA
E7;00C1
E8;00CB
E9;00C8
EA;00CD
EB;00CE
EC;00CF
ED;00CC
EE;00D3
EF;00D4
F0;F8FF
F1;00D2
F2;00DA
F3;00D8
F4;00D9
F5;0131
F6;02C6
F7;02DC
F8;00AF
F9;02D8
FA;02D9
FB;02DA
FC;00B8
FD;02DD
FE;02DB
FF;02C7
