22;2200
24;2203
27;220B
2A;2217
2D;2212
40;2245
41;0391
42;0392
43;03A7
44;0394
45;0395
46;03A6
47;0393
48;0397
49;0399
4A;03D1
4B;039A
4C;039B
4D;039C
4E;039D
4F;039F
50;03A0
51;0398
52;03A1
53;03A3
54;03A4
55;03A5
56;03C2
57;03A9
58;039E
59;03A8
5A;0396
5C;2234
5E;22A5
60;F8E5
61;03B1
62;03B2
63;03C7
64;03B4
65;03B5
66;03C6
67;03B3
68;03B7
69;03B9
6A;03D5
6B;03BA
6C;03BB
6D;03BC
6E;03BD
6F;03BF
70;03C0
71;03B8
72;03C1
73;03C3
74;03C4
75;03C5
76;03D6
77;03C9
78;03BE
79;03C8
7A;03B6
7E;223C
A0;20AC
A1;03D2
A2;2032
A3;2264
A4;2215
A5;221E
A6;0192
A7;2663
A8;2666
A9;2665
AA;2660
AB;2194
AC;2190
AD;2191
AE;2192
AF;2193
B2;2033
B3;2265
B4;00D7
B5;221D
B6;2202
B7;2022
B8;00F7
B9;2260
BA;2261
BB;2248
BC;2026
BD;F8E6
BE;F8E7
BF;21B5
C0;2135
C1;2111
C2;211C
C3;2118
C4;2297
C5;2295
C6;2205
C7;2229
C8;222A
C9;2283
CA;2287
CB;2284
CC;2282
CD;2286
CE;2208
CF;2209
D0;2220
D1;2207
D2;F6DA
D3;F6D9
D4;F6DB
D5;220F
D6;221A
D7;22C5
D8;00AC
D9;2227
DA;2228
DB;21D4
DC;21D0
DD;21D1
DE;21D2
DF;21D3
E0;25CA
E1;2329
E2;F8E8
E3;F8E9
E4;F8EA
E5;2211
E6;F8EB
E7;F8EC
E8;F8ED
E9;F8EE
EA;F8EF
EB;F8F0
EC;F8F1
ED;F8F2
EE;F8F3
EF;F8F4
F1;232A
F2;222B
F3;2320
F4;F8F5
F5;2321
F6;F8F6
F7;F8F7
F8;F8F8
F9;F8F9
FA;F8FA
FB;F8FB
FC;F8FC
FD;F8FD
FE;F8FE
